config,cache_size,associativity,block_size,icache_hit_rate,dcache_hit_rate,l2_hit_rate,icache_hits,icache_misses,dcache_hits,dcache_misses,l2_hits,l2_misses
size_8kB,8kB,2,64,99.99763334884301,69.65865083541254,92.1761058356289,81590153,1931,19330277,8419725,7762761,658902
size_16kB,16kB,2,64,99.99846308619841,73.4507334449922,99.44075488116397,81590830,1254,20382580,7367422,7327474,41209
size_32kB,32kB,2,64,99.99880135430786,75.21756214648201,99.77323719067093,81591106,978,20872875,6877127,6862515,15597
size_64kB,64kB,2,64,99.9989177871716,76.08662154330655,99.84790984522333,81591201,883,21114039,6635963,6626759,10094
assoc_1,16kB,1,64,99.99720070883346,69.61033372177775,85.7792226344118,81589800,2284,19316869,8433133,7235854,1199585
assoc_2,16kB,2,64,99.99846308619841,73.4507334449922,99.44075488116397,81590830,1254,20382580,7367422,7327474,41209
assoc_4,16kB,4,64,99.99859300076218,90.01192864778893,98.6093344561272,81590936,1148,24978312,2771690,2734284,38561
assoc_8,16kB,8,64,99.99877193968963,95.88263453098129,96.52931413510927,81591082,1002,26607433,1142569,1103888,39690
block_16B,16kB,2,16,99.99634523368714,83.21184970016148,96.59228928709177,81589102,2982,23091374,4658729,4502864,158858
block_32B,16kB,2,32,99.99774120244312,85.89891198699706,97.92677120381884,81590241,1843,23836979,3913057,3833743,81165
block_64B,16kB,2,64,99.99846308619841,73.4507334449922,99.44075488116397,81590830,1254,20382580,7367422,7327474,41209
block_128B,16kB,2,128,99.99889572620795,70.73042337892183,99.73974580498452,81591183,901,19627684,8122304,8102071,21141
